Time America/New_York UTC-04:00,Level (Stage) (ft),Flow Rate (ft3/s),Total Rain (in),Level (Stage) (ft),Discharge Volume (ft3),Flow Rate (ft3/s),Total Rain (in)
1/4/2020 17:45,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 18:00,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 18:15,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 18:30,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 18:45,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 19:00,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 19:15,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 19:30,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 19:45,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 20:00,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 20:15,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 20:30,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 20:45,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 21:00,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 21:15,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 21:30,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 21:45,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 22:00,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 22:15,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 22:30,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 22:45,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 23:00,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 23:15,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 23:30,2.59,0,30.07,2.61,0,0,1795.3
1/4/2020 23:45,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 0:00,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 0:15,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 0:30,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 0:45,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 1:00,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 1:15,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 1:30,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 1:45,2.59,0,30.07,2.61,0,0,1795.3
1/5/2020 2:00,2.59,0,30.07,2.61,0,0,1795.3
